                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7435,                  2.116,                 1.5397,                0.05295,                0.02533,                0.00967,                0.00217,                  3.456,                 3.8476,                 1.4534,              0.0033309,              0.0033309,              0.0033309
                      2,                 2.8379,                 1.5711,                 1.2473,                0.66561,                0.43668,                0.46359,                0.16486,                 2.7721,                 1.9972,                 1.1367,              0.0065983,              0.0065983,              0.0065983
                      3,                 2.2892,                 1.3112,                 1.0975,                0.74458,                0.53143,                 0.5691,                0.22762,                 2.4293,                 1.8711,                 1.0312,              0.0097996,              0.0097996,              0.0097996
                      4,                 2.0684,                 1.1672,                 1.0451,                0.82456,                0.62289,                 0.6652,                 0.3109,                 2.1115,                 1.4566,                0.95478,               0.009703,               0.009703,               0.009703
                      5,                 1.9065,                 1.0811,                 1.0078,                0.86237,                0.66463,                0.71615,                0.33186,                 1.9765,                 1.1215,                 0.9276,               0.009703,               0.009703,               0.009703
                      6,                 1.8299,                 1.0145,                0.99239,                0.82412,                0.67824,                0.71935,                0.36365,                 1.8459,                 1.1242,                0.91293,               0.009604,               0.009604,               0.009604
                      7,                 1.7629,                 0.9775,                0.97819,                0.83769,                0.68992,                0.72657,                0.36674,                 1.8899,                 1.1221,                0.90827,               0.009505,               0.009505,               0.009505
                      8,                 1.7126,                 0.9517,                0.97346,                0.87261,                0.69747,                0.74277,                0.39311,                 1.8004,                0.99815,                0.90041,               0.009406,               0.009406,               0.009406
                      9,                 1.6866,                0.92831,                0.96571,                0.88656,                0.71482,                0.75657,                0.38637,                 1.7967,                0.97269,                0.89367,               0.009307,               0.009307,               0.009307
                     10,                 1.6503,                0.90837,                0.96417,                0.85543,                0.70216,                0.74116,                0.36765,                 1.8855,                 1.0017,                0.89766,               0.009208,               0.009208,               0.009208
                     11,                 1.6284,                 0.8857,                0.95347,                0.88152,                0.70216,                0.75563,                0.39544,                 1.7862,                0.92418,                0.88985,               0.009109,               0.009109,               0.009109
                     12,                 1.6259,                0.88421,                0.95577,                 0.8582,                0.70398,                0.74598,                0.39896,                 1.7318,                0.93219,                0.89805,                0.00901,                0.00901,                0.00901
                     13,                 1.5923,                0.86042,                0.94878,                0.89731,                0.70086,                 0.7709,                0.43362,                 1.6328,                0.84739,                0.88149,               0.008911,               0.008911,               0.008911
                     14,                 1.5879,                0.85392,                0.94814,                0.90452,                0.73312,                0.78204,                0.43177,                  1.657,                0.84749,                0.88372,               0.008812,               0.008812,               0.008812
                     15,                 1.5635,                0.83839,                0.94459,                0.88157,                0.72936,                0.77878,                0.42319,                 1.6823,                0.83363,                0.88211,               0.008713,               0.008713,               0.008713
                     16,                 1.5555,                0.83205,                0.94411,                0.89294,                 0.7378,                0.79218,                 0.4417,                  1.637,                0.80679,                0.88061,               0.008614,               0.008614,               0.008614
                     17,                  1.548,                0.82583,                0.94259,                0.90169,                0.71951,                0.78138,                0.43034,                 1.6956,                0.82264,                 0.8788,               0.008515,               0.008515,               0.008515
                     18,                 1.5416,                0.82752,                 0.9458,                0.88125,                0.73442,                0.78786,                0.43158,                 1.6686,                0.80714,                0.87567,               0.008416,               0.008416,               0.008416
                     19,                  1.537,                0.82498,                0.94398,                0.89418,                0.73171,                0.79062,                0.44235,                 1.6426,                0.79573,                0.87485,               0.008317,               0.008317,               0.008317
                     20,                 1.5115,                0.81165,                0.93585,                0.88643,                0.73583,                0.79451,                0.44145,                  1.629,                0.78594,                0.87436,               0.008218,               0.008218,               0.008218
                     21,                 1.5177,                0.81146,                0.93868,                 0.8976,                0.73921,                 0.7961,                0.44079,                  1.661,                0.81828,                0.87418,               0.008119,               0.008119,               0.008119
                     22,                 1.5003,                0.80424,                0.93295,                0.88713,                0.74859,                0.79573,                 0.4419,                 1.6363,                0.82268,                0.86908,                0.00802,                0.00802,                0.00802
                     23,                  1.484,                0.79294,                0.93426,                0.88709,                0.74809,                0.79761,                 0.4484,                  1.602,                0.75631,                 0.8688,               0.007921,               0.007921,               0.007921
                     24,                 1.4927,                0.79273,                0.93264,                0.88147,                0.74299,                0.79923,                 0.4556,                 1.5902,                0.75952,                0.86839,               0.007822,               0.007822,               0.007822
                     25,                 1.4822,                0.79011,                 0.9323,                0.89676,                0.73743,                0.80152,                0.45544,                 1.5981,                0.75851,                0.86972,               0.007723,               0.007723,               0.007723
                     26,                 1.4734,                0.78525,                0.93578,                0.88488,                0.75844,                 0.8057,                 0.4619,                 1.5785,                0.76562,                0.86506,               0.007624,               0.007624,               0.007624
                     27,                 1.4717,                0.77961,                 0.9288,                0.89401,                 0.7575,                 0.8035,                0.45535,                 1.6051,                0.77306,                0.86734,               0.007525,               0.007525,               0.007525
                     28,                 1.4637,                0.77361,                0.93091,                0.90134,                0.74578,                0.80679,                0.45565,                 1.6078,                0.77008,                0.86914,               0.007426,               0.007426,               0.007426
                     29,                 1.4659,                0.77351,                0.92928,                0.89728,                0.75328,                0.81206,                0.46385,                 1.5761,                 0.7315,                0.86252,               0.007327,               0.007327,               0.007327
                     30,                 1.4588,                0.76838,                0.92736,                 0.9062,                0.75141,                0.81011,                0.45887,                 1.5754,                0.74067,                0.86059,               0.007228,               0.007228,               0.007228
                     31,                 1.4488,                0.77239,                0.92979,                 0.8874,                0.76548,                0.81183,                0.46524,                 1.5641,                0.73917,                0.86044,               0.007129,               0.007129,               0.007129
                     32,                 1.4453,                 0.7611,                0.92571,                0.88301,                0.76111,                 0.8082,                0.46401,                 1.5619,                0.74256,                0.86075,                0.00703,                0.00703,                0.00703
                     33,                 1.4553,                0.76289,                0.92992,                0.89224,                0.75341,                0.80998,                0.46525,                 1.5677,                0.74116,                  0.862,               0.006931,               0.006931,               0.006931
                     34,                 1.4322,                0.75098,                0.92173,                0.88761,                0.75938,                0.81255,                0.46768,                 1.5473,                0.74023,                0.85853,               0.006832,               0.006832,               0.006832
                     35,                 1.4364,                 0.7541,                0.92693,                0.90479,                0.74015,                 0.8078,                0.46707,                  1.538,                0.73197,                0.85729,               0.006733,               0.006733,               0.006733
                     36,                 1.4336,                0.75377,                0.92411,                0.89646,                0.75535,                0.81239,                0.47138,                 1.5303,                0.73396,                0.85682,               0.006634,               0.006634,               0.006634
                     37,                 1.4218,                0.74719,                0.92419,                0.90883,                0.74625,                0.81185,                0.47012,                 1.5383,                0.74022,                0.85844,               0.006535,               0.006535,               0.006535
                     38,                 1.4221,                0.74491,                 0.9239,                0.90011,                 0.7523,                0.81208,                0.46841,                 1.5554,                0.74381,                 0.8604,               0.006436,               0.006436,               0.006436
                     39,                 1.4173,                0.74495,                0.92217,                0.89573,                0.75516,                0.81262,                0.47048,                 1.5419,                0.73924,                0.85985,               0.006337,               0.006337,               0.006337
                     40,                 1.4235,                0.74729,                0.92194,                0.89754,                0.75605,                0.81452,                0.47136,                 1.5378,                0.73725,                0.85986,               0.006238,               0.006238,               0.006238
                     41,                 1.4223,                0.74023,                0.92572,                0.90007,                0.75422,                0.81412,                0.47119,                 1.5427,                0.73644,                0.86067,               0.006139,               0.006139,               0.006139
                     42,                  1.409,                0.73844,                0.92357,                0.89769,                0.75516,                0.81445,                0.47185,                 1.5417,                0.73392,                0.86097,                0.00604,                0.00604,                0.00604
                     43,                 1.4047,                0.73815,                0.92362,                0.89695,                0.75938,                0.81659,                0.47284,                 1.5386,                0.73094,                0.86085,               0.005941,               0.005941,               0.005941
                     44,                 1.4004,                0.73294,                0.91919,                0.89671,                0.76147,                0.81726,                0.47345,                 1.5346,                0.72532,                0.86007,               0.005842,               0.005842,               0.005842
                     45,                 1.3952,                0.72749,                0.91523,                0.89255,                0.76126,                0.81604,                0.47479,                 1.5283,                0.71965,                0.85859,               0.005743,               0.005743,               0.005743
                     46,                 1.3853,                0.72785,                0.91683,                 0.8982,                0.76126,                0.81692,                0.47595,                 1.5229,                0.71839,                0.85715,               0.005644,               0.005644,               0.005644
                     47,                  1.394,                0.72585,                0.91405,                0.89752,                0.75996,                0.81609,                0.47594,                 1.5168,                0.71488,                0.85621,               0.005545,               0.005545,               0.005545
                     48,                 1.3848,                 0.7227,                0.92045,                 0.8971,                0.76056,                0.81683,                0.47697,                 1.5139,                0.71282,                0.85629,               0.005446,               0.005446,               0.005446
                     49,                 1.3846,                0.72186,                0.91426,                 0.8957,                0.76126,                0.81676,                0.47783,                 1.5124,                0.71115,                0.85617,               0.005347,               0.005347,               0.005347
                     50,                 1.3717,                0.70726,                0.91367,                0.89794,                0.76454,                0.81818,                0.47877,                 1.5102,                0.70895,                0.85608,               0.005248,               0.005248,               0.005248
                     51,                 1.3606,                0.70996,                0.91491,                0.90274,                0.76186,                0.81824,                0.48004,                 1.5039,                0.70631,                0.85566,               0.005149,               0.005149,               0.005149
                     52,                 1.3648,                0.70332,                 0.9149,                0.89907,                0.77064,                0.81996,                0.48042,                 1.5009,                0.70524,                0.85539,                0.00505,                0.00505,                0.00505
                     53,                 1.3637,                0.70656,                0.91492,                0.89848,                0.77111,                 0.8202,                0.48107,                 1.4989,                 0.7042,                0.85518,               0.004951,               0.004951,               0.004951
                     54,                 1.3623,                0.70853,                0.91336,                0.90226,                0.76642,                0.81997,                0.48153,                 1.4967,                0.70233,                0.85451,               0.004852,               0.004852,               0.004852
                     55,                 1.3633,                0.70963,                0.91779,                0.90017,                0.76642,                 0.8208,                0.48152,                 1.4946,                0.70179,                 0.8542,               0.004753,               0.004753,               0.004753
                     56,                 1.3567,                0.69614,                0.91324,                0.90378,                0.76501,                 0.8211,                0.48301,                 1.4937,                 0.7007,                0.85383,               0.004654,               0.004654,               0.004654
                     57,                 1.3595,                 0.7019,                0.91388,                0.90893,                0.76266,                0.82124,                0.48357,                 1.4911,                0.69975,                0.85349,               0.004555,               0.004555,               0.004555
                     58,                 1.3536,                0.69871,                0.91092,                0.90837,                0.76257,                0.82156,                0.48514,                 1.4893,                  0.698,                0.85331,               0.004456,               0.004456,               0.004456
                     59,                 1.3463,                0.69699,                0.91341,                0.90879,                0.76173,                0.82215,                0.48616,                 1.4852,                0.69655,                  0.853,               0.004357,               0.004357,               0.004357
                     60,                 1.3523,                0.69426,                0.91323,                0.91268,                0.75986,                0.82205,                0.48732,                 1.4815,                0.69468,                0.85277,               0.004258,               0.004258,               0.004258
                     61,                 1.3406,                0.68739,                 0.9114,                0.91414,                0.75907,                0.82226,                0.48804,                 1.4788,                0.69429,                0.85255,               0.004159,               0.004159,               0.004159
                     62,                 1.3367,                0.68665,                0.91056,                0.91581,                0.76027,                0.82386,                 0.4882,                 1.4776,                0.69336,                0.85239,                0.00406,                0.00406,                0.00406
                     63,                 1.3331,                 0.6877,                0.90929,                0.91626,                0.75952,                0.82281,                0.48877,                 1.4752,                 0.6931,                0.85202,               0.003961,               0.003961,               0.003961
                     64,                 1.3225,                0.68231,                0.90667,                0.91769,                0.75985,                0.82445,                0.49008,                 1.4734,                0.69153,                0.85187,               0.003862,               0.003862,               0.003862
                     65,                 1.3286,                0.67858,                0.90981,                0.91785,                0.76032,                0.82529,                0.49028,                 1.4714,                0.69057,                0.85158,               0.003763,               0.003763,               0.003763
                     66,                  1.321,                0.68121,                0.90734,                0.91943,                0.76003,                0.82533,                0.49145,                 1.4694,                0.68937,                0.85132,               0.003664,               0.003664,               0.003664
                     67,                 1.3261,                0.67955,                 0.9064,                0.92132,                 0.7575,                0.82559,                0.49267,                 1.4679,                0.68777,                 0.8512,               0.003565,               0.003565,               0.003565
                     68,                 1.3329,                 0.6804,                0.90791,                0.92096,                0.75961,                 0.8265,                0.49296,                 1.4652,                0.68602,                0.85094,               0.003466,               0.003466,               0.003466
                     69,                 1.3138,                0.67502,                0.90893,                0.91933,                0.75901,                0.82614,                0.49368,                 1.4637,                0.68469,                0.85089,               0.003367,               0.003367,               0.003367
                     70,                 1.3082,                0.66827,                0.90611,                0.92192,                0.75844,                0.82552,                0.49323,                 1.4614,                0.68306,                0.85063,               0.003268,               0.003268,               0.003268
                     71,                 1.3103,                 0.6702,                0.90669,                0.92272,                0.75938,                0.82659,                0.49414,                 1.4596,                0.68205,                0.85051,               0.003169,               0.003169,               0.003169
                     72,                 1.3035,                0.66524,                0.90502,                0.92503,                0.75985,                0.82696,                0.49486,                  1.458,                0.68093,                0.85044,                0.00307,                0.00307,                0.00307
                     73,                 1.2978,                0.65911,                0.90092,                0.92412,                 0.7597,                0.82701,                0.49556,                 1.4564,                0.67912,                 0.8503,               0.002971,               0.002971,               0.002971
                     74,                 1.2969,                0.65803,                0.90169,                0.92305,                0.75959,                0.82703,                0.49708,                 1.4554,                0.67809,                0.85021,               0.002872,               0.002872,               0.002872
                     75,                 1.2945,                0.66196,                0.90235,                0.92255,                0.75984,                0.82725,                0.49726,                 1.4535,                0.67652,                0.84994,               0.002773,               0.002773,               0.002773
                     76,                 1.2893,                0.65859,                 0.9046,                0.92297,                0.76032,                0.82701,                0.49797,                 1.4514,                0.67514,                0.84975,               0.002674,               0.002674,               0.002674
                     77,                 1.2883,                0.65697,                0.90445,                0.92303,                0.75937,                 0.8274,                0.49811,                 1.4494,                0.67364,                 0.8496,               0.002575,               0.002575,               0.002575
                     78,                 1.2772,                0.65219,                0.90458,                0.92375,                 0.7575,                 0.8266,                0.49823,                 1.4475,                0.67181,                 0.8493,               0.002476,               0.002476,               0.002476
                     79,                 1.2829,                0.64759,                0.90213,                0.92505,                0.75836,                0.82736,                0.49885,                 1.4461,                  0.671,                0.84911,               0.002377,               0.002377,               0.002377
                     80,                 1.2825,                0.64402,                0.90241,                0.92398,                0.75797,                0.82737,                0.50023,                 1.4447,                0.66986,                0.84879,               0.002278,               0.002278,               0.002278
                     81,                 1.2701,                 0.6481,                 0.9018,                0.92203,                 0.7575,                 0.8266,                0.50033,                 1.4428,                0.66856,                0.84863,               0.002179,               0.002179,               0.002179
                     82,                 1.2708,                0.64093,                0.90184,                0.92134,                0.75821,                0.82624,                0.50108,                 1.4397,                0.66776,                0.84835,                0.00208,                0.00208,                0.00208
                     83,                 1.2728,                0.64522,                0.89864,                0.91978,                0.75831,                0.82711,                 0.5016,                 1.4368,                  0.666,                0.84805,               0.001981,               0.001981,               0.001981
                     84,                 1.2627,                0.64558,                0.90235,                0.91816,                0.75891,                0.82641,                0.50219,                 1.4345,                0.66476,                0.84774,               0.001882,               0.001882,               0.001882
                     85,                 1.2584,                0.63369,                0.89821,                0.91678,                0.75956,                0.82702,                0.50322,                 1.4317,                0.66294,                0.84746,               0.001783,               0.001783,               0.001783
                     86,                  1.258,                0.63923,                 0.9012,                0.91528,                0.76014,                0.82707,                0.50319,                 1.4302,                0.66105,                0.84718,               0.001684,               0.001684,               0.001684
                     87,                 1.2393,                0.62813,                 0.8976,                0.91525,                0.75983,                0.82751,                0.50441,                 1.4275,                0.65913,                0.84699,               0.001585,               0.001585,               0.001585
                     88,                 1.2507,                 0.6341,                0.89783,                0.91439,                0.76079,                0.82735,                0.50404,                 1.4258,                0.65806,                0.84694,               0.001486,               0.001486,               0.001486
                     89,                 1.2467,                0.62413,                0.89508,                0.91042,                 0.7627,                0.82745,                0.50542,                 1.4237,                0.65615,                0.84669,               0.001387,               0.001387,               0.001387
                     90,                 1.2481,                0.62837,                0.89534,                0.91047,                0.76313,                 0.8269,                0.50624,                 1.4213,                0.65458,                0.84657,               0.001288,               0.001288,               0.001288
                     91,                 1.1885,                0.54753,                0.86931,                0.91079,                 0.7636,                0.82856,                0.50749,                 1.4182,                0.65244,                 0.8462,               0.001189,               0.001189,               0.001189
                     92,                 1.1751,                0.54032,                0.86478,                0.90749,                0.76383,                  0.828,                0.50896,                 1.4136,                0.64941,                0.84587,                0.00109,                0.00109,                0.00109
                     93,                 1.1722,                0.53802,                0.86367,                0.90935,                0.76226,                0.82798,                0.50994,                  1.409,                0.64615,                0.84553,               0.000991,               0.000991,               0.000991
                     94,                 1.1623,                 0.5258,                 0.8614,                0.90988,                0.76242,                0.82852,                0.51141,                 1.4054,                0.64301,                 0.8452,               0.000892,               0.000892,               0.000892
                     95,                 1.1552,                0.52798,                0.86135,                0.91058,                0.76173,                0.82853,                0.51305,                 1.4011,                0.63979,                0.84497,               0.000793,               0.000793,               0.000793
                     96,                 1.1531,                0.52736,                0.85896,                0.91191,                0.76173,                0.82845,                0.51427,                 1.3977,                0.63702,                0.84461,               0.000694,               0.000694,               0.000694
                     97,                 1.1452,                0.52309,                0.85993,                0.91221,                0.76173,                0.82849,                0.51517,                 1.3927,                0.63422,                0.84439,               0.000595,               0.000595,               0.000595
                     98,                 1.1451,                0.51699,                0.85895,                0.91098,                0.76266,                0.82908,                0.51623,                 1.3889,                0.63102,                0.84423,               0.000496,               0.000496,               0.000496
                     99,                 1.1403,                0.51495,                0.85924,                 0.9102,                0.76313,                0.82928,                0.51754,                 1.3858,                0.62908,                0.84396,               0.000397,               0.000397,               0.000397
                    100,                 1.1372,                0.51353,                 0.8545,                0.91088,                0.76407,                0.82951,                0.51825,                 1.3827,                0.62613,                 0.8438,               0.000298,               0.000298,               0.000298
